model,cv_roc_auc_mean,cv_roc_auc_std,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_avg_precision
Gradient Boosting,97.983,0.179,98.815,92.086,93.209,89.696,91.419,98.027,98.055
XGBoost,97.938,0.183,98.573,91.857,93.702,88.632,91.097,97.927,97.967
Hist Gradient Boosting,97.972,0.208,98.365,92.043,92.797,90.061,91.408,97.996,98.017
Random Forest,97.413,0.219,99.7,91.286,92.894,88.207,90.49,97.376,97.518
Extra Trees,97.153,0.223,100.0,90.471,92.076,87.234,89.59,97.161,97.218
AdaBoost,97.22,0.338,97.306,90.543,91.661,87.872,89.727,97.191,97.31
Logistic Regression,95.847,0.26,95.86,88.429,86.773,88.936,87.841,95.86,95.8
